        id,         y,                           x1,          x2,          x3,          x4,       x5,          x6,             x7,              x8,          x9,         x10
         0,       Bob,                     -0.78103,    -0.63375,    -0.03665,     0.27517,    False,           F,       -1.85755,         0.22668,    -2.35130,     1.42092
         1,       Bob,                      0.42649,    -0.50019,     0.00696,     0.11817,    False,           F,       -1.73761,        -1.61015,    -5.12219,     1.87723
         2,    Atsuto,                      1.86817,    -0.45565,     0.07658,     0.09662,    False,           F,        1.02798,        -0.92326,    -1.67111,     2.07828
         3,    Atsuto,                     -1.80073,     0.08535,    -0.02467,     0.14032,    False,           F,        2.02793,        -0.46318,     2.41329,    -0.62963
         4,       Bob,                      1.56943,    -1.25860,    -0.02092,     0.22267,    False,           F,       -0.43304,        -1.99881,    -1.58241,     2.28423
         5,      Jörg,                      0.14361,    -0.37353,    -1.01562,     1.00364,    False,           F,       -0.05208,         0.21060,    -0.29282,     3.84481
         6,       Bob,                     -0.34399,    -1.16045,     0.21745,     0.07107,    False,           F,       -0.67029,         0.03244,    -3.17673,     1.74463
         7,       Bob,                     -0.05407,    -0.47607,    -0.56841,     0.65207,    False,           F,       -1.85532,        -0.63706,    -0.44894,     2.58572
         8,    Atsuto,                     -0.71673,    -0.27256,    -0.38471,     0.50048,    False,           F,       -1.40870,         1.59564,    -1.92357,     0.05368
         9,       Bob,                     -0.13301,     0.31355,    -0.92791,     0.88101,    False,           F,        0.25196,        -0.25724,    -1.00409,     1.15892
        10,    Atsuto,                     -1.12513,    -0.24434,    -0.94695,     0.95083,    False,           F,        0.06075,        -0.87900,     0.71193,     1.96878
        11,       Bob,                      0.78906,     0.40426,    -0.00116,     0.10488,     True,           E,       -0.82565,        -2.05912,    -2.07703,    -1.22726
        12,       Bob,                     -0.71810,    -0.56698,    -0.43278,     0.53287,    False,           F,       -1.65993,        -1.74412,    -3.09878,     2.17475
        13,    Atsuto,                      2.16735,     0.93905,    -1.03496,     1.03196,    False,           A,        2.65571,         0.82569,     2.71017,     3.20733
        14,       Bob,                      0.93449,    -1.06762,    -0.15542,     0.25597,    False,           F,       -0.24440,        -0.60596,    -1.57519,    -0.78049
        15,    Atsuto,                     -0.13716,     0.98807,    -0.47833,     0.55327,     True,           A,       -2.87855,         2.23037,    -1.66909,     0.71396
        16,       Bob,                      1.64086,    -0.83674,    -0.08880,     0.17540,    False,           F,       -0.46670,        -0.49664,    -3.65289,     2.70455
        17,      Jörg,                     -0.24657,    -0.07476,    -1.12696,     1.02543,    False,           F,        1.91186,        -0.11404,     3.85050,    -0.50942
        18,       Bob,                     -1.39105,     1.68688,     0.03726,     0.04848,     True,           A,       -1.45703,         0.62032,    -0.60832,     1.04426
        19,    Atsuto,                     -2.96708,     1.62705,    -1.11270,     1.19202,     True,           A,        1.18227,         1.09713,    -2.80811,     0.95783
        20,    Atsuto,                     -0.67375,     1.40739,    -1.26911,     1.24733,     True,           A,        1.13731,        -0.45064,    -2.81856,     1.74219
        21,       Bob,                     -1.96784,     1.61617,    -0.16492,     0.32093,     True,           A,       -0.72129,        -0.95561,    -1.74375,    -0.13600
        22,      Jörg,                      0.65774,    -0.70778,    -0.37127,     0.37774,    False,           F,        1.48514,        -0.78172,    -1.02457,     0.49156
        23,      Jörg,                      0.15784,    -2.24538,    -1.03000,     1.11114,    False,           F,        3.04618,         0.12059,     3.63352,    -2.68136
        24,    Atsuto,                     -0.47400,     0.19012,    -0.18707,     0.25444,    False,           F,        1.38232,        -2.18999,     1.10641,     0.45273
        25,       Bob,                     -2.09138,     0.25866,    -0.08180,     0.32520,    False,           E,       -0.34057,        -1.99291,    -2.74888,     2.42036
        26,       Bob,                     -1.08743,    -1.89897,    -0.17620,     0.25431,    False,           F,       -0.77883,        -1.15017,    -2.53217,    -0.74603
        27,    Atsuto,                      0.08786,     1.01337,    -0.35291,     0.51647,     True,           A,        1.86006,        -0.21701,     4.07800,     0.84200
        28,       Bob,                     -1.12978,     0.51580,    -0.53877,     0.66559,    False,           D,       -1.60657,         0.01494,    -2.58359,    -1.38839
        29,       Bob,                     -0.16543,    -0.70473,    -0.46031,     0.47043,    False,           F,       -0.60226,        -0.81680,    -3.16066,     2.00106
        30,    Atsuto,                     -1.32451,     0.30110,    -0.46537,     0.56381,    False,           F,       -0.62157,         0.32022,     1.96216,    -1.34681
        31,    Atsuto,                      1.09668,    -0.91420,    -1.16661,     1.14514,    False,           F,        2.43236,         0.61535,    -1.06995,     0.47523
        32,    Atsuto,                     -0.19837,    -0.67116,    -0.84637,     0.93626,    False,           F,        2.09823,         2.29187,     1.43991,     2.27188
        33,       Bob,                     -1.64125,     0.34392,     0.25533,     0.03793,     True,           D,       -0.86878,        -1.03754,    -2.56622,     2.83771
        34,       Bob,                     -1.12006,    -1.07706,     0.34025,    -0.05196,    False,           F,       -0.43473,        -0.93430,     0.37978,     3.60004
        35,    Atsuto,                      0.10616,     0.05749,    -1.19270,     1.15267,    False,           F,       -0.20049,         1.52404,    -1.22247,    -0.33049
        36,      Jörg,                     -0.17524,    -0.15052,    -0.67531,     0.76837,    False,           F,        0.43079,         0.66039,    -0.44814,     2.50769
        37,       Bob,                     -0.56264,     0.07933,     0.04600,     0.25460,    False,           F,       -0.36062,        -1.14143,    -0.99759,     0.89147
        38,    Atsuto,                     -1.81644,     2.03420,    -1.19615,     1.25226,     True,           A,        3.26342,        -2.12585,    -2.64600,     2.60103
        39,       Bob,                     -1.30379,     0.63647,     0.17536,     0.00282,     True,           B,       -1.31071,        -1.03741,    -0.62314,     2.95844
        40,       Bob,                      0.87676,     0.46489,    -0.58704,     0.60433,    False,          Fx,       -0.61551,        -0.42478,    -2.11590,    -1.00429
        41,    Atsuto,                      1.43970,    -0.17389,    -0.93302,     0.99692,    False,           F,        1.03803,         1.32143,    -3.08643,     0.89974
        42,       Bob,                      0.76226,    -1.03348,    -0.25834,     0.50252,    False,           F,       -1.10255,        -0.92351,    -2.23489,     1.13793
        43,       Bob,                      2.75110,    -1.35400,    -0.10223,     0.28244,    False,           F,       -1.45894,        -2.35739,    -3.11561,    -0.43142
        44,    Atsuto,                      2.34596,    -0.96310,    -0.05160,     0.16404,    False,           F,        0.37327,        -2.32186,    -1.91248,     1.49936
        45,    Atsuto,                      0.81662,     1.59987,     0.20333,    -0.03640,     True,           A,        2.81806,         0.27961,    -1.47327,     0.82427
        46,       Bob,                      1.18802,     2.08756,     0.10172,     0.12908,     True,           A,       -1.01709,        -0.74114,    -1.84328,     0.30839
        47,       Bob,                     -2.99311,     0.58453,    -0.76180,     0.76348,    False,           E,       -1.32469,        -0.12566,    -1.71896,     1.42080
        48,    Atsuto,                     -1.08398,    -1.10429,    -0.21877,     0.34260,    False,           F,        2.16440,         0.99868,     0.71558,    -0.95585
        49,    Atsuto,                     -0.17204,     1.13238,    -0.09657,     0.21565,     True,           A,        1.25841,         2.94007,     1.59695,     1.91545
        50,       Bob,                      1.39140,    -0.13280,    -0.30976,     0.49806,    False,           F,       -1.64869,        -0.74304,     0.39066,     0.83939
        51,      Jörg,                      2.56850,    -0.96284,    -0.14728,     0.35905,    False,           F,        0.44985,         0.21633,    -0.64980,     5.25262
        52,      Jörg,                      1.01848,    -2.58502,    -0.99866,     0.91224,    False,           F,       -0.18467,        -0.36754,     0.23433,     0.52235
        53,       Bob,                     -2.38085,     1.86357,    -0.92834,     0.86275,     True,           A,       -2.24266,        -0.19563,    -1.89433,     1.67439
        54,       Bob,                     -0.23641,     0.32067,    -0.35180,     0.49477,    False,          Fx,       -2.37672,        -1.21596,    -1.57632,     0.98693
        55,       Bob,                     -1.82425,     1.09739,    -0.01635,     0.10208,     True,           A,       -0.63270,        -0.75087,    -3.07518,     0.77131
        56,       Bob,                      3.32967,    -1.65934,    -0.60658,     0.64133,    False,           F,       -1.73434,        -1.02147,    -1.10214,     1.93451
        57,      Jörg,                      0.68155,    -1.19906,    -0.88359,     0.81497,    False,           F,        1.88883,        -0.90616,    -2.75779,     0.20840
        58,       Bob,                      1.84843,    -0.83837,     0.04493,     0.12768,    False,           F,       -1.05462,        -0.06601,    -3.53480,     0.07404
        59,       Bob,                      0.90390,     1.15982,    -0.51144,     0.60936,     True,           A,       -1.66871,        -1.37419,    -2.04076,     0.42763
        60,       Bob,                      0.29566,    -0.28688,     0.15898,    -0.02886,    False,           F,       -1.30558,        -1.45111,    -2.44792,     1.25960
        61,       Bob,                      1.55554,     0.66099,     0.04078,     0.19010,     True,           B,       -1.59448,        -0.86625,    -2.75147,    -1.26350
        62,       Bob,                      0.42041,     0.40533,    -0.54160,     0.54928,    False,          Fx,       -1.25703,        -1.58464,    -2.61084,     1.04820
        63,       Bob,                     -1.58806,     1.03380,    -0.66122,     0.68908,     True,           A,       -2.38666,        -1.73385,    -2.21268,     0.35901
        64,       Bob,                     -0.41053,     0.74093,    -0.18951,     0.20972,     True,           C,       -2.61944,        -0.82605,    -0.82541,    -0.30348
        65,    Atsuto,                     -0.49222,     1.37810,    -0.25543,     0.40402,     True,           A,        0.57355,        -0.67487,     0.84303,     1.13005
        66,       Bob,                      1.59560,    -0.59491,     0.20215,    -0.02930,    False,           F,       -1.84339,        -2.12775,    -1.67314,     1.02827
        67,    Atsuto,                      0.85574,    -1.42629,    -0.26678,     0.41887,    False,           F,        1.12643,         1.41270,    -2.13613,    -0.78655
        68,       Bob,                      1.30958,     0.02300,    -0.52209,     0.67871,    False,           F,       -1.75227,         0.04526,    -7.06607,     1.73670
        69,      Jörg,                      0.94582,    -0.25983,    -0.47700,     0.72293,    False,           F,        1.33181,         1.75300,    -1.02602,     3.45586
        70,    Atsuto,                      0.43314,    -0.61480,    -1.04866,     1.07886,    False,           F,        2.64438,        -0.78173,    -2.67895,     0.91172
        71,       Bob,                     -1.24696,     1.41737,    -0.56761,     0.70175,     True,           A,       -1.73656,        -0.69332,    -2.57376,     0.01316
        72,    Atsuto,                      0.40461,    -1.55487,    -0.86901,     0.87608,    False,           F,       -0.91989,         2.05141,    -2.89398,     0.15996
        73,       Bob,                     -1.94535,    -0.88406,    -0.58260,     0.67535,    False,           F,       -0.81773,        -1.15179,    -2.52326,     2.38629
        74,       Bob,                      2.61046,    -2.00489,    -0.51481,     0.74206,    False,           F,        0.55892,        -1.24601,    -2.98608,     3.35652
        75,    Atsuto,                      0.27969,    -1.52603,    -0.36291,     0.49468,    False,           F,        0.76846,         0.96963,    -2.93209,     1.50458
        76,       Bob,                     -0.88417,     0.30527,    -0.59991,     0.77653,    False,          Fx,       -0.88137,        -0.23389,    -0.58757,     1.40630
        77,       Bob,                      0.51368,     1.26943,     0.08258,     0.05329,     True,           A,       -0.07162,        -0.64325,    -2.71996,     0.86584
        78,      Jörg,                     -0.85468,     0.19106,    -1.18532,     1.08940,    False,           F,       -0.03139,        -0.03982,    -1.72943,     2.12945
        79,    Atsuto,                     -0.43210,    -0.06750,    -0.66549,     0.67890,    False,           F,        3.17700,         2.07838,    -3.77139,     0.87072
        80,       Bob,                     -0.05115,    -0.05134,    -0.30256,     0.54001,    False,           F,       -0.98730,        -0.92374,    -2.41002,     2.92191
        81,       Bob,                      0.22779,    -0.52313,    -0.46549,     0.49536,    False,           F,       -1.99388,        -0.24366,    -4.04264,    -0.30794
        82,    Atsuto,                     -0.57562,     1.62027,    -0.23755,     0.34281,     True,           A,       -0.61799,        -0.66908,     1.36075,     1.19823
        83,    Atsuto,                      0.34480,    -0.84086,    -0.27386,     0.41549,    False,           F,       -0.98243,         0.49394,    -0.84133,    -0.40412
        84,    Atsuto,                     -0.41418,     0.07889,     0.20332,    -0.02386,     True,           F,        0.93689,         1.35861,     0.91456,     1.00549
        85,       Bob,                     -0.13939,    -0.60543,    -0.48602,     0.47861,    False,           F,       -0.99083,        -0.58975,    -2.25442,     2.29410
        86,    Atsuto,                     -1.16640,     0.83015,    -0.80865,     0.92813,    False,           A,        1.44517,         1.97696,    -2.74906,     0.15798
        87,       Bob,                     -0.76555,     1.21163,    -0.50301,     0.53837,     True,           A,        0.16450,        -1.41227,    -0.45011,     1.62239
        88,       Bob,                      0.00643,    -0.75151,     0.16247,     0.16043,    False,           F,        0.20666,        -0.98661,    -2.35961,     0.54293
        89,       Bob,                      0.57579,    -0.66246,    -0.29172,     0.34654,    False,           F,       -2.09948,        -1.36278,    -1.25710,     1.16396
        90,       Bob,                      0.94845,    -0.26291,    -0.82793,     0.85091,    False,           F,       -0.50932,        -1.38299,    -2.40896,     2.26702
        91,       Bob,                     -1.59213,     1.05108,     0.35081,    -0.02042,     True,           A,        0.14440,        -0.91105,    -2.88016,     2.97142
        92,       Bob,                     -1.21789,     0.33372,     0.12738,     0.13218,     True,           E,       -0.80148,        -0.59552,    -1.34131,    -0.18031
        93,      Jörg,                      0.39176,    -1.41243,    -0.76450,     0.89678,    False,           F,        0.16875,         2.11554,    -1.79273,     1.14069
        94,    Atsuto,                     -0.67787,    -1.49742,    -0.58805,     0.67009,    False,           F,       -2.29553,         0.77321,     1.06220,     1.15750
        95,    Atsuto,                     -0.47260,    -1.12290,    -0.97646,     1.05159,    False,           F,        0.47854,         2.27965,    -0.13681,     1.29424
        96,       Bob,                     -1.34576,     1.27542,    -0.38142,     0.44019,     True,           A,       -2.20091,        -0.77564,    -3.28760,     1.22482
        97,       Bob,                     -2.95195,     1.54567,    -0.03479,     0.16202,     True,           A,       -0.26945,        -1.98009,    -3.09449,     0.73196
        98,    Atsuto,                     -0.69057,     0.21310,    -1.12668,     1.18144,    False,           F,        0.48989,         3.26049,     2.09298,    -0.26245
        99,       Bob,                      1.77967,    -1.20519,    -0.28248,     0.28707,    False,           F,       -1.98535,        -0.65603,    -2.34778,     1.73965
       100,    Atsuto,                      1.17173,    -0.29053,     0.10333,     0.10422,    False,           F,        2.75447,        -0.32875,    -2.03535,     0.84852
       101,      Jörg,                      0.03421,    -2.29757,    -0.88206,     0.97576,    False,           F,        1.58230,         0.33572,    -1.03897,     2.30700
       102,       Bob,                      0.34915,    -0.39268,    -0.11671,     0.18594,    False,           F,       -1.19724,        -1.17775,    -0.69157,     0.87079
       103,      Jörg,                     -1.21762,     0.11442,    -0.20855,     0.32248,    False,           F,       -1.19064,         0.81736,    -1.60150,     1.18588
