,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1000,2.11820,0.30064,0.11441,0.08570,True,E,-0.23694,1.34755,4.41336,0.92271
1001,0.33456,-0.08190,-0.70144,0.69276,False,F,-0.97349,-1.46992,-3.30673,0.22554
1002,1.52200,-0.50104,-1.34160,1.28651,False,F,1.59231,1.96883,-1.36040,2.68363
1003,1.27021,1.24996,-0.14228,0.15172,True,A,-0.28572,-0.85520,-3.86445,0.86683
1004,-1.91738,0.83558,-0.88311,0.95150,False,A,0.74576,2.59335,-2.41387,1.01367
1005,2.28692,-0.27930,-1.17053,1.33479,False,F,0.06359,0.29207,-1.53829,1.24936
1006,-0.01912,-1.43705,-0.26305,0.37385,False,F,1.18986,2.31248,-2.41818,-0.14290
1007,-0.25074,1.14412,-0.09085,0.21013,True,A,2.62449,-1.39934,-1.12511,-0.36238
1008,-0.09932,0.32283,-1.13070,1.21230,False,Fx,0.68759,-1.37708,1.41127,-0.83373
1009,1.36437,0.54590,0.07690,0.06035,True,D,-0.63347,-1.26079,-2.55929,2.10123
1010,1.24313,0.61202,0.17274,0.02583,True,B,1.12409,-1.37066,2.76449,-0.52285
1011,-1.21188,0.11738,-0.71427,0.80574,False,F,0.00104,-1.90399,-3.65574,2.45579
1012,-4.06844,1.03617,-0.28121,0.44749,True,A,-1.15966,0.25488,-1.17045,1.95714
1013,-1.68891,0.29845,-0.64045,0.63442,False,F,-2.02976,-0.04913,-1.73482,1.60378
1014,-0.53542,-0.37360,-0.37154,0.36792,False,F,0.92373,-0.45939,-0.59346,0.88698
1015,1.05068,0.40763,-0.46086,0.69154,False,D,-1.09423,-1.12032,-0.89449,2.48152
1016,1.46312,0.47368,-0.30687,0.43101,True,E,-0.20476,-0.57938,-2.61605,0.15646
1017,-3.57313,0.82085,-0.90165,0.85082,False,C,1.50168,-0.22478,-0.67186,2.86345
1018,-2.32686,-0.08915,-0.35273,0.53481,False,F,-2.65343,-0.56361,-1.75637,2.36169
1019,-0.89419,0.61972,-0.51108,0.60944,True,C,1.43827,-0.77261,3.24691,-1.00547
1020,-0.66619,1.37518,0.09563,0.08741,True,A,0.16010,-1.35546,-2.96041,0.67359
1021,-1.46065,0.90512,-0.99126,1.03887,False,A,2.99941,-1.42714,0.88066,1.27178
1022,-0.91930,-1.04238,-0.76113,0.77240,False,F,0.52262,-0.32076,-3.44609,1.27910
1023,1.04705,-2.25849,-0.46615,0.56221,False,F,-1.13995,-0.61990,-4.82373,3.00747
1024,1.00162,-1.25826,-0.11100,0.22542,False,F,-0.68231,-1.63157,1.69392,-0.07668
1025,1.74384,-0.85254,-0.34609,0.53285,False,F,-1.99152,-1.82116,-3.05779,1.66751
1026,1.47710,-0.83529,-0.22615,0.36760,False,F,1.26000,0.26751,-1.14564,-0.28709
1027,1.43880,-1.07095,0.17480,0.04529,False,F,0.15476,0.80154,-2.17815,0.21130
1028,2.41368,-0.40143,-0.23313,0.36945,False,F,4.16633,2.46086,-1.89009,1.23312
1029,-0.10245,0.58390,-0.38899,0.52982,True,C,1.69527,2.14605,-1.84222,0.23002
1030,-3.62311,0.62501,-0.01792,0.03214,True,D,-2.72508,-0.90062,-3.00337,1.85906
1031,-0.66865,0.22217,-0.45740,0.71247,False,Fx,-0.57503,-0.82038,-2.18043,2.01274
1032,-1.47844,-0.46901,0.10287,0.16634,False,F,-1.39615,-1.96596,-2.76411,1.82182
1033,0.36268,0.65137,-0.95255,0.99366,False,D,-1.79990,-0.78862,1.72186,-0.06579
1034,1.80226,-0.02861,-1.15379,1.18115,False,F,1.15390,0.35392,3.45020,1.43030
1035,-0.28887,0.06789,0.07039,0.12445,False,F,0.74729,1.40874,-4.63144,0.77768
1036,2.51879,-0.57144,-0.90461,0.88857,False,F,-1.02423,-0.16183,-2.33122,-0.62383
1037,-0.72539,0.06404,-0.37707,0.37490,False,F,-1.30071,-0.13973,-1.22442,1.64049
1038,-0.48996,-0.63451,-0.23924,0.30895,False,F,0.30379,1.03181,2.89237,1.68713
